"CountryArea","Year","Item","Value"
"Afghanistan","1975","Gross fixed capital formation (including Acquisitions less disposals of valuables)","231111100.428647"
"Afghanistan","1975","Exports of goods and services","299999997.244839"
"Afghanistan","1975","Imports of goods and services","337777784.387945"
"Afghanistan","1975","Gross Domestic Product (GDP)","2366666612.83162"
"Afghanistan","1974","Final consumption expenditure","1984444452.72255"
"Afghanistan","1974","Household consumption expenditure (including Non-profit institutions serving households)","1850662043.18839"
"Afghanistan","1974","General government final consumption expenditure","133782409.534166"
"Afghanistan","1974","Gross capital formation","188888891.269528"
"Afghanistan","1974","Gross fixed capital formation (including Acquisitions less disposals of valuables)","188888891.269528"
"Afghanistan","1974","Exports of goods and services","302222230.475845"
"Afghanistan","1974","Imports of goods and services","320000007.431895"
"Afghanistan","1974","Gross Domestic Product (GDP)","2155555500.36703"
"Afghanistan","1973","Final consumption expenditure","1637777779.85658"
"Afghanistan","1973","Household consumption expenditure (including Non-profit institutions serving households)","1527366076.1058"
"Afghanistan","1973","General government final consumption expenditure","110411681.527783"
"Afghanistan","1973","Gross capital formation","126666671.923354"
"Afghanistan","1973","Gross fixed capital formation (including Acquisitions less disposals of valuables)","126666671.923354"
"Afghanistan","1973","Exports of goods and services","224444445.181628"
"Afghanistan","1973","Imports of goods and services","255555554.854715"
"Afghanistan","1973","Gross Domestic Product (GDP)","1733333275.43785"
"Afghanistan","1972","Final consumption expenditure","1544444495.28332"
"Afghanistan","1972","Household consumption expenditure (including Non-profit institutions serving households)","1440324922.57741"
"Afghanistan","1972","General government final consumption expenditure","104119572.705911"
"Afghanistan","1972","Gross capital formation","104444450.728292"
"Afghanistan","1972","Gross fixed capital formation (including Acquisitions less disposals of valuables)","104444450.728292"
"Afghanistan","1972","Exports of goods and services","235555544.66766"
"Afghanistan","1972","Imports of goods and services","288888875.535809"
"Afghanistan","1972","Gross Domestic Product (GDP)","1595555481.80547"
"Afghanistan","1971","Final consumption expenditure","1826664359.93421"
"Afghanistan","1971","Household consumption expenditure (including Non-profit institutions serving households)","1703518766.64142"
"Afghanistan","1971","General government final consumption expenditure","123145593.292793"
"Afghanistan","1971","Gross capital formation","99999984.2662805"
"Afghanistan","1971","Gross fixed capital formation (including Acquisitions less disposals of valuables)","99999984.2662805"
"Afghanistan","1971","Exports of goods and services","199999990.75556"
"Afghanistan","1971","Imports of goods and services","295555553.005827"
"Afghanistan","1971","Gross Domestic Product (GDP)","1831108981.95722"
"Afghanistan","1970","Final consumption expenditure","1691108955.09383"
"Afghanistan","1970","Household consumption expenditure (including Non-profit institutions serving households)","1577101925.67283"
"Afghanistan","1970","General government final consumption expenditure","114007051.644002"
"Afghanistan","1970","Gross capital formation","95555562.250267"
"Afghanistan","1970","Gross fixed capital formation (including Acquisitions less disposals of valuables)","95555562.250267"
"Afghanistan","1970","Exports of goods and services","171111114.313479"
"Afghanistan","1970","Imports of goods and services","208888901.456584"
"Afghanistan","1970","Gross Domestic Product (GDP)","1748886596.863"
"Albania","1986","Final consumption expenditure","1708142857.14286"
"Albania","1986","Household consumption expenditure (including Non-profit institutions serving households)","1477857142.85714"
"Albania","1986","General government final consumption expenditure","230285714.285714"
"Albania","1986","Gross capital formation","779428571.428571"
"Albania","1986","Gross fixed capital formation (including Acquisitions less disposals of valuables)","779428571.428571"
"Albania","1986","Exports of goods and services","370984910.571429"
"Albania","1986","Imports of goods and services","375270624.857143"
"Albania","1986","Gross Domestic Product (GDP)","2463787438"
"Albania","1985","Final consumption expenditure","1635571428.57143"
"Albania","1985","Household consumption expenditure (including Non-profit institutions serving households)","1411571428.57143"
"Albania","1985","General government final consumption expenditure","224000000"
"Albania","1985","Gross capital formation","810285714.285714"
"Albania","1985","Gross fixed capital formation (including Acquisitions less disposals of valuables)","799142857.142857"
"Albania","1985","Changes in inventories","11142857.1428571"
"Albania","1985","Exports of goods and services","387882253"
"Albania","1985","Imports of goods and services","425739395.857143"
"Albania","1985","Gross Domestic Product (GDP)","2389092852.57143"
"Albania","1984","Final consumption expenditure","1626571428.57143"
"Albania","1984","Household consumption expenditure (including Non-profit institutions serving households)","1404714285.71429"
"Albania","1984","General government final consumption expenditure","221857142.857143"
"Albania","1984","Gross capital formation","747857142.857143"
"Albania","1984","Gross fixed capital formation (including Acquisitions less disposals of valuables)","871285714.285714"
"Albania","1984","Changes in inventories","-123428571.428571"
"Albania","1984","Exports of goods and services","407302492.285714"
"Albania","1984","Imports of goods and services","424159635.142857"
"Albania","1984","Gross Domestic Product (GDP)","2339060236.42857"
"Albania","1983","Final consumption expenditure","1569428571.42857"
"Albania","1983","Household consumption expenditure (including Non-profit institutions serving households)","1359857142.85714"
"Albania","1983","General government final consumption expenditure","209571428.571429"
"Albania","1983","Gross capital formation","851857142.857143"
"Albania","1983","Gross fixed capital formation (including Acquisitions less disposals of valuables)","836142857.142857"
"Albania","1983","Changes in inventories","15714285.7142857"
"Albania","1983","Exports of goods and services","431174601.142857"
"Albania","1983","Imports of goods and services","464174601.142857"
"Albania","1983","Gross Domestic Product (GDP)","2369533359.57143"
"Albania","1982","Final consumption expenditure","1495428571.42857"
"Albania","1982","Household consumption expenditure (including Non-profit institutions serving households)","1292571428.57143"
"Albania","1982","General government final consumption expenditure","202857142.857143"
"Albania","1982","Gross capital formation","929714285.714286"
"Albania","1982","Gross fixed capital formation (including Acquisitions less disposals of valuables)","820428571.428571"
"Albania","1982","Changes in inventories","109285714.285714"
"Albania","1982","Exports of goods and services","454126612.142857"
"Albania","1982","Imports of goods and services","516840897.857143"
"Albania","1982","Gross Domestic Product (GDP)","2343879242"
"Albania","1981","Final consumption expenditure","1478142857.14286"
"Albania","1981","Household consumption expenditure (including Non-profit institutions serving households)","1282285714.28571"
"Albania","1981","General government final consumption expenditure","195857142.857143"
"Albania","1981","Gross capital formation","807857142.857143"
"Albania","1981","Gross fixed capital formation (including Acquisitions less disposals of valuables)","713857142.857143"
"Albania","1981","Changes in inventories","94000000"
"Albania","1981","Exports of goods and services","523342774.142857"
"Albania","1981","Imports of goods and services","514199917"
"Albania","1981","Gross Domestic Product (GDP)","2277121842"
"Albania","1980","Final consumption expenditure","1450000000"
"Albania","1980","Household consumption expenditure (including Non-profit institutions serving households)","1250714285.71429"
"Albania","1980","General government final consumption expenditure","199285714.285714"
"Albania","1980","Gross capital formation","747571428.571429"
"Albania","1980","Gross fixed capital formation (including Acquisitions less disposals of valuables)","733428571.428571"
"Albania","1980","Changes in inventories","14142857.1428571"
"Albania","1980","Exports of goods and services","508874660.428571"
"Albania","1980","Imports of goods and services","487588946.142857"
"Albania","1980","Gross Domestic Product (GDP)","2201435108.28571"
"Albania","1979","Final consumption expenditure","1581494846.47046"
"Albania","1979","Household consumption expenditure (including Non-profit institutions serving households)","1367667640.90182"
"Albania","1979","General government final consumption expenditure","213827205.568636"
"Albania","1979","Gross capital formation","886743468.698357"
"Albania","1979","Gross fixed capital formation (including Acquisitions less disposals of valuables)","810074209.637939"
"Albania","1979","Changes in inventories","76669259.0604176"
"Albania","1979","Exports of goods and services","532148225.34207"
"Albania","1979","Imports of goods and services","542773197.3012"
"Albania","1979","Gross Domestic Product (GDP)","2438316641.41715"
"Albania","1978","Final consumption expenditure","1905109255.4"
"Albania","1978","Household consumption expenditure (including Non-profit institutions serving households)","1647804461.8"
"Albania","1978","General government final consumption expenditure","257304793.6"
"Albania","1978","Gross capital formation","1030292284"
"Albania","1978","Gross fixed capital formation (including Acquisitions less disposals of valuables)","953218827.8"
"Albania","1978","Changes in inventories","77073456.2"
"Albania","1978","Exports of goods and services","661422558.4"
"Albania","1978","Imports of goods and services","652340419.2"
"Albania","1978","Gross Domestic Product (GDP)","2921364165.8"
"Albania","1977","Final consumption expenditure","1853301728.8"
"Albania","1977","Household consumption expenditure (including Non-profit institutions serving households)","1601423386.2"
"Albania","1977","General government final consumption expenditure","251878342.6"
"Albania","1977","Gross capital formation","998756167.8"
"Albania","1977","Gross fixed capital formation (including Acquisitions less disposals of valuables)","937984399.6"
"Albania","1977","Changes in inventories","60771768.2"
"Albania","1977","Exports of goods and services","639217342.8"
"Albania","1977","Imports of goods and services","631252877.8"
"Albania","1977","Gross Domestic Product (GDP)","2837566022.4"
"Albania","1976","Final consumption expenditure","1797864494.2"
"Albania","1976","Household consumption expenditure (including Non-profit institutions serving households)","1554448120.4"
"Albania","1976","General government final consumption expenditure","243416373.8"
"Albania","1976","Gross capital formation","983026379.2"
"Albania","1976","Gross fixed capital formation (including Acquisitions less disposals of valuables)","910110110.8"
"Albania","1976","Changes in inventories","72916268.2"
"Albania","1976","Exports of goods and services","616435517.2"
"Albania","1976","Imports of goods and services","615001760.8"
"Albania","1976","Gross Domestic Product (GDP)","2760478358.2"
"Albania","1975","Final consumption expenditure","1749635603.4"
"Albania","1975","Household consumption expenditure (including Non-profit institutions serving households)","1512641040.4"
"Albania","1975","General government final consumption expenditure","236994563"
"Albania","1975","Gross capital formation","948579365.4"
"Albania","1975","Gross fixed capital formation (including Acquisitions less disposals of valuables)","882213854.8"
"Albania","1975","Changes in inventories","66365510.8"
"Albania","1975","Exports of goods and services","603603535"
"Albania","1975","Imports of goods and services","597849015.6"
"Albania","1975","Gross Domestic Product (GDP)","2682738446"
"Albania","1974","Final consumption expenditure","1700683917.8"
"Albania","1974","Household consumption expenditure (including Non-profit institutions serving households)","1470097114.6"
"Albania","1974","General government final consumption expenditure","230586803.2"
"Albania","1974","Gross capital formation","922806966.8"
"Albania","1974","Gross fixed capital formation (including Acquisitions less disposals of valuables)","859729578.8"
"Albania","1974","Changes in inventories","63077388"
"Albania","1974","Exports of goods and services","585471363.4"
"Albania","1974","Imports of goods and services","580715779.4"
"Albania","1974","Gross Domestic Product (GDP)","2607609988.8"
"Albania","1973","Final consumption expenditure","1652656554.6"
"Albania","1973","Household consumption expenditure (including Non-profit institutions serving households)","1428759886"
"Albania","1973","General government final consumption expenditure","223896668.6"
"Albania","1973","Gross capital formation","898790644.4"
"Albania","1973","Gross fixed capital formation (including Acquisitions less disposals of valuables)","835122162.2"
"Albania","1973","Changes in inventories","63668482.4"
"Albania","1973","Exports of goods and services","568578380.2"
"Albania","1973","Imports of goods and services","564785640.2"
"Albania","1973","Gross Domestic Product (GDP)","2535176692.2"
"Albania","1972","Final consumption expenditure","1606908267.4"
"Albania","1972","Household consumption expenditure (including Non-profit institutions serving households)","1389164022"
"Albania","1972","General government final consumption expenditure","217744245.4"
"Albania","1972","Gross capital formation","872343965"
"Albania","1972","Gross fixed capital formation (including Acquisitions less disposals of valuables)","811525122"
"Albania","1972","Changes in inventories","60818842.8"
"Albania","1972","Exports of goods and services","553464082"
"Albania","1972","Imports of goods and services","548975227.6"
"Albania","1972","Gross Domestic Product (GDP)","2464239235"
"Albania","1971","Final consumption expenditure","1561968404.8"
"Albania","1971","Household consumption expenditure (including Non-profit institutions serving households)","1350286963.4"
"Albania","1971","General government final consumption expenditure","211681441.4"
"Albania","1971","Gross capital formation","848318607.2"
"Albania","1971","Gross fixed capital formation (including Acquisitions less disposals of valuables)","789243724.2"
"Albania","1971","Changes in inventories","59074883.2"
"Albania","1971","Exports of goods and services","537693804.2"
"Albania","1971","Imports of goods and services","533588526.2"
"Albania","1971","Gross Domestic Product (GDP)","2395434951.6"
"Albania","1970","Final consumption expenditure","1518291364.8"
"Albania","1970","Household consumption expenditure (including Non-profit institutions serving households)","1312560783.2"
"Albania","1970","General government final consumption expenditure","205730581.6"
"Albania","1970","Gross capital formation","824850020.4"
"Albania","1970","Gross fixed capital formation (including Acquisitions less disposals of valuables)","767056788.6"
"Albania","1970","Changes in inventories","57793232"
"Albania","1970","Exports of goods and services","522650638.6"
"Albania","1970","Imports of goods and services","518745207.2"
"Albania","1970","Gross Domestic Product (GDP)","2328618261.8"
"Algeria","1986","Final consumption expenditure","44511102683.4291"
"Algeria","1986","Household consumption expenditure (including Non-profit institutions serving households)","33263178787.7606"
"Algeria","1986","General government final consumption expenditure","11247923895.6684"
"Algeria","1986","Gross capital formation","21124268534.304"
"Algeria","1986","Gross fixed capital formation (including Acquisitions less disposals of valuables)","21549590804.5325"
"Algeria","1986","Changes in inventories","-425322270.228504"
"Algeria","1986","Exports of goods and services","8232963184.81316"
"Algeria","1986","Imports of goods and services","10803398324.9391"
"Algeria","1986","Gross Domestic Product (GDP)","63064957343.7207"
"Algeria","1985","Final consumption expenditure","36927483193.4445"
"Algeria","1985","Household consumption expenditure (including Non-profit institutions serving households)","27789291539.0429"
"Algeria","1985","General government final consumption expenditure","9138191654.40153"
"Algeria","1985","Gross capital formation","19245992282.907"
"Algeria","1985","Gross fixed capital formation (including Acquisitions less disposals of valuables)","18450415688.7704"
"Algeria","1985","Changes in inventories","795576594.1366"
"Algeria","1985","Exports of goods and services","13650105413.8987"
"Algeria","1985","Imports of goods and services","11826643860.1376"
"Algeria","1985","Gross Domestic Product (GDP)","57996937030.1126"
"Algeria","1984","Final consumption expenditure","33149221163.1298"
"Algeria","1984","Household consumption expenditure (including Non-profit institutions serving households)","25249755438.9386"
"Algeria","1984","General government final consumption expenditure","7899465724.19122"
"Algeria","1984","Gross capital formation","18567938396.7164"
"Algeria","1984","Gross fixed capital formation (including Acquisitions less disposals of valuables)","17554769610.4175"
"Algeria","1984","Changes in inventories","1013168786.29887"
"Algeria","1984","Exports of goods and services","13582762687.0664"
"Algeria","1984","Imports of goods and services","12352672637.5492"
"Algeria","1984","Gross Domestic Product (GDP)","52947229542.6415"
"Algeria","1983","Final consumption expenditure","29417808225.3211"
"Algeria","1983","Household consumption expenditure (including Non-profit institutions serving households)","22173195794.8073"
"Algeria","1983","General government final consumption expenditure","7244612430.51383"
"Algeria","1983","Gross capital formation","18338414637.9758"
"Algeria","1983","Gross fixed capital formation (including Acquisitions less disposals of valuables)","16772260277.475"
"Algeria","1983","Changes in inventories","1566154360.50078"
"Algeria","1983","Exports of goods and services","13645172071.0084"
"Algeria","1983","Imports of goods and services","12588957570.2867"
"Algeria","1983","Gross Domestic Product (GDP)","48812249425.4954"
"Algeria","1982","Final consumption expenditure","27485568806.6487"
"Algeria","1982","Household consumption expenditure (including Non-profit institutions serving households)","20809018211.1611"
"Algeria","1982","General government final consumption expenditure","6676550595.48761"
"Algeria","1982","Gross capital formation","16842284824.0965"
"Algeria","1982","Gross fixed capital formation (including Acquisitions less disposals of valuables)","15567294486.9608"
"Algeria","1982","Changes in inventories","1274990337.13568"
"Algeria","1982","Exports of goods and services","13985261216.3731"
"Algeria","1982","Imports of goods and services","13116395042.9878"
"Algeria","1982","Gross Domestic Product (GDP)","45196698028.036"
"Algeria","1981","Final consumption expenditure","26305616760.0057"
"Algeria","1981","Household consumption expenditure (including Non-profit institutions serving households)","20199228808.8634"
"Algeria","1981","General government final consumption expenditure","6106387951.14234"
"Algeria","1981","Gross capital formation","16413147791.8767"
"Algeria","1981","Gross fixed capital formation (including Acquisitions less disposals of valuables)","14607923972.8227"
"Algeria","1981","Changes in inventories","1805223819.05403"
"Algeria","1981","Exports of goods and services","15334786650.3188"
"Algeria","1981","Imports of goods and services","13688976768.8221"
"Algeria","1981","Gross Domestic Product (GDP)","44364458580.2268"
"Algeria","1980","Final consumption expenditure","24112366291.1862"
"Algeria","1980","Household consumption expenditure (including Non-profit institutions serving households)","18287925580.3432"
"Algeria","1980","General government final consumption expenditure","5824440710.84299"
"Algeria","1980","Gross capital formation","16550573953.1591"
"Algeria","1980","Gross fixed capital formation (including Acquisitions less disposals of valuables)","14301424126.5167"
"Algeria","1980","Changes in inventories","2249149826.64247"
"Algeria","1980","Exports of goods and services","14541427253.6558"
"Algeria","1980","Imports of goods and services","12856975338.5339"
"Algeria","1980","Gross Domestic Product (GDP)","42347704867.1247"
"Algeria","1979","Final consumption expenditure","19714181911.3776"
"Algeria","1979","Household consumption expenditure (including Non-profit institutions serving households)","15177771245.6559"
"Algeria","1979","General government final consumption expenditure","4536410665.72166"
"Algeria","1979","Gross capital formation","14126195958.6133"
"Algeria","1979","Gross fixed capital formation (including Acquisitions less disposals of valuables)","13073323071.2659"
"Algeria","1979","Changes in inventories","1052872887.34741"
"Algeria","1979","Exports of goods and services","10356926593.1133"
"Algeria","1979","Imports of goods and services","10921123205.6578"
"Algeria","1979","Gross Domestic Product (GDP)","33276440777.5073"
"Algeria","1978","Final consumption expenditure","16509241286.0912"
"Algeria","1978","Household consumption expenditure (including Non-profit institutions serving households)","12828361787.4451"
"Algeria","1978","General government final consumption expenditure","3680879498.64618"
"Algeria","1978","Gross capital formation","13772914096.1126"
"Algeria","1978","Gross fixed capital formation (including Acquisitions less disposals of valuables)","12806676923.9786"
"Algeria","1978","Changes in inventories","966237172.134002"
"Algeria","1978","Exports of goods and services","6729620012.28715"
"Algeria","1978","Imports of goods and services","10578683277.5861"
"Algeria","1978","Gross Domestic Product (GDP)","26433344266.4801"
"Algeria","1977","Final consumption expenditure","13554684284.7657"
"Algeria","1977","Household consumption expenditure (including Non-profit institutions serving households)","10759971144.7118"
"Algeria","1977","General government final consumption expenditure","2794713140.05391"
"Algeria","1977","Gross capital formation","9842386927.09986"
"Algeria","1977","Gross fixed capital formation (including Acquisitions less disposals of valuables)","9268203478.44438"
"Algeria","1977","Changes in inventories","574183448.65548"
"Algeria","1977","Exports of goods and services","6403556193.02714"
"Algeria","1977","Imports of goods and services","8762266109.57449"
"Algeria","1977","Gross Domestic Product (GDP)","21038361295.3182"
"Algeria","1976","Final consumption expenditure","10850359948.0887"
"Algeria","1976","Household consumption expenditure (including Non-profit institutions serving households)","8629805529.44223"
"Algeria","1976","General government final consumption expenditure","2220554418.64645"
"Algeria","1976","Gross capital formation","7667469215.8454"
"Algeria","1976","Gross fixed capital formation (including Acquisitions less disposals of valuables)","7531056182.12366"
"Algeria","1976","Changes in inventories","136413033.721737"
"Algeria","1976","Exports of goods and services","5851110458.73713"
"Algeria","1976","Imports of goods and services","6579046911.57267"
"Algeria","1976","Gross Domestic Product (GDP)","17790132874.8903"
"Algeria","1975","Final consumption expenditure","9982001525.96241"
"Algeria","1975","Household consumption expenditure (including Non-profit institutions serving households)","7963724526.15402"
"Algeria","1975","General government final consumption expenditure","2018276999.8084"
"Algeria","1975","Gross capital formation","7048650749.04857"
"Algeria","1975","Gross fixed capital formation (including Acquisitions less disposals of valuables)","6070529553.43198"
"Algeria","1975","Changes in inventories","978121195.616589"
"Algeria","1975","Exports of goods and services","5244836253.17164"
"Algeria","1975","Imports of goods and services","6684545577.08464"
"Algeria","1975","Gross Domestic Product (GDP)","15590689748.614"
"Algeria","1974","Final consumption expenditure","7571129583.82375"
"Algeria","1974","Household consumption expenditure (including Non-profit institutions serving households)","6152962986.58206"
"Algeria","1974","General government final consumption expenditure","1418166597.24168"
"Algeria","1974","Gross capital formation","5280153083.84385"
"Algeria","1974","Gross fixed capital formation (including Acquisitions less disposals of valuables)","4057645160.33191"
"Algeria","1974","Changes in inventories","1222507923.51193"
"Algeria","1974","Exports of goods and services","5119416373.88493"
"Algeria","1974","Imports of goods and services","4681217486.02074"
"Algeria","1974","Gross Domestic Product (GDP)","13289720747.0645"
"Algeria","1973","Final consumption expenditure","6282922853.88723"
"Algeria","1973","Household consumption expenditure (including Non-profit institutions serving households)","5147633152.57893"
"Algeria","1973","General government final consumption expenditure","1135289701.3083"
"Algeria","1973","Gross capital formation","3399261231.29013"
"Algeria","1973","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2997401909.99468"
"Algeria","1973","Changes in inventories","401859321.295451"
"Algeria","1973","Exports of goods and services","2349599792.65482"
"Algeria","1973","Imports of goods and services","2755076924.32191"
"Algeria","1973","Gross Domestic Product (GDP)","9250473509.63577"
"Algeria","1972","Final consumption expenditure","5237931933.95757"
"Algeria","1972","Household consumption expenditure (including Non-profit institutions serving households)","4225237235.16008"
"Algeria","1972","General government final consumption expenditure","1012694698.79749"
"Algeria","1972","Gross capital formation","2251669807.67895"
"Algeria","1972","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2094509891.16192"
"Algeria","1972","Changes in inventories","157159916.517031"
"Algeria","1972","Exports of goods and services","1463588037.64285"
"Algeria","1972","Imports of goods and services","1730255342.28908"
"Algeria","1972","Gross Domestic Product (GDP)","7192641174.40388"
"Algeria","1971","Final consumption expenditure","4071196061.58261"
"Algeria","1971","Household consumption expenditure (including Non-profit institutions serving households)","3281699560.71057"
"Algeria","1971","General government final consumption expenditure","789496501.075597"
"Algeria","1971","Gross capital formation","1747957733.33691"
"Algeria","1971","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1624248459.35266"
"Algeria","1971","Changes in inventories","123709274.187803"
"Algeria","1971","Exports of goods and services","988736583.468029"
"Algeria","1971","Imports of goods and services","1405726166.97353"
"Algeria","1971","Gross Domestic Product (GDP)","5375793630.6554"
"Algeria","1970","Final consumption expenditure","3759914780.90139"
"Algeria","1970","Household consumption expenditure (including Non-profit institutions serving households)","3073649020.44919"
"Algeria","1970","General government final consumption expenditure","686265760.654748"
"Algeria","1970","Gross capital formation","1712889878.84617"
"Algeria","1970","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1580952509.1402"
"Algeria","1970","Changes in inventories","131937369.70597"
"Algeria","1970","Exports of goods and services","1143329994.87522"
"Algeria","1970","Imports of goods and services","1418613346.28602"
"Algeria","1970","Gross Domestic Product (GDP)","5166766965.69581"
"Andorra","1986","Final consumption expenditure","461176398.112457"
"Andorra","1986","Household consumption expenditure (including Non-profit institutions serving households)","371640934.627227"
"Andorra","1986","General government final consumption expenditure","89535463.4852301"
"Andorra","1986","Gross capital formation","128632401.119891"
